ip_address,failed_count,accepted_count,also_in_invalid_user_lines,reverse_dns_breakin_warnings
203.0.113.88,1250,0,no,38
198.51.100.88,1100,0,no,0
203.0.113.89,951,1,no,42
198.51.100.89,700,0,no,0
192.0.2.40,107,159,yes,0
192.0.2.30,106,146,yes,0
192.0.2.12,105,148,yes,0
198.51.100.25,103,142,yes,0
198.51.100.23,102,162,yes,0
192.0.2.21,99,160,yes,0
192.0.2.20,96,163,yes,0
198.51.100.24,93,168,yes,0
192.0.2.10,93,158,yes,0
198.51.100.26,92,160,yes,0
192.0.2.11,91,160,yes,0
192.0.2.31,88,132,yes,0
